Họ và tên,Tuổi,Chiều cao (cm),Cân nặng (kg),Vị trí thi đấu,Quốc tịch,Chỉ số tổng thể,Tiềm năng phát triển,Giá trị chuyển nhượng (euro),Lương (euro)
Enzo Merques,35,187.96,76.2,LB,Brazil,72,72,875000,17000
S. Mendoza,26,170.18,69.9,"LM,LW,ST",Colombia,72,73,3700000,14000
Vieiraldo Junior,27,154.94,78.9,"CDM,LB",Brazil,72,72,2700000,11000
B. Osborn,24,175.26,74.8,"LM,LB,CDM",England,72,78,4300000,29000
B. Assombalonga,26,152.4,78,ST,DR Congo,72,75,4000000,38000
S. Alakouch,20,175.26,66.2,RB,France,72,82,4200000,5000
T. Adams,20,175.26,68,"CDM,RWB",United States,72,84,4800000,12000
J. Lucumi,20,185.42,78,"CB,LB",Colombia,72,83,4700000,8000
C. Jean,23,170.18,66.2,"RM,ST",France,72,77,4200000,17000
G. Sertic,29,182.88,76.2,"CB,CDM",France,72,72,2500000,28000
Carlos,23,175.26,66.2,"ST,LW,CAM",Brazil,72,79,4400000,7000
J. MariÃ©,27,152.4,73,"CM,CDM",France,72,73,3600000,11000
N. KrstiÄiÄ‡,28,154.94,73,"CM,CDM,CAM",Serbia,72,72,3200000,1000
JoÃ£o AurÃ©lio,30,182.88,73.9,RB,Portugal,72,72,2400000,5000
T. Castagne,23,185.42,79.8,"RM,RB,LM",Belgium,72,79,4400000,16000
Brandon Thomas,24,172.72,71.2,"ST,LM",Spain,72,79,4400000,21000
Juankar,28,152.4,69.9,"LB,LWB,LM",Spain,72,72,2500000,8000
R. Noir,32,175.26,64.9,"LM,RM",Argentina,72,72,2700000,15000
M. Hawsawi,27,154.94,77.1,CB,Saudi Arabia,72,75,3200000,24000
S. Zoller,27,152.4,69.9,"ST,RM,LM",Germany,72,72,3300000,15000
M. Andreolli,32,187.96,79.8,CB,Italy,72,72,1800000,11000
T. Ouwejan,22,182.88,72.1,LB,Netherlands,72,78,3600000,9000
G. FernÃ¡ndez,35,170.18,69.9,"CAM,ST,LW",Argentina,72,72,1600000,12000
I. Hayden,23,185.42,78.9,"CDM,CM",England,72,79,3700000,25000
M. PongraÄiÄ‡,21,187.96,84.8,CB,Croatia,72,83,4700000,16000
Pimentiscinho,31,152.4,74.8,"CDM,CM,CAM",Brazil,72,72,2300000,10000
S. Rosted,24,187.96,78.9,CB,Norway,72,77,3500000,12000
Diego GonzÃ¡lez,24,185.42,83,"CB,LB",Spain,72,79,3700000,6000
L. Castro,29,182.88,79.8,ST,Colombia,72,72,3100000,1000
T. Lees,28,185.42,73,CB,England,72,73,2900000,19000
T. Chery,30,170.18,73.9,"CAM,RM",Netherlands,72,72,2900000,12000
S. Armenteros,28,154.94,79.8,ST,Sweden,72,72,3200000,5000
G. Vural,30,152.4,64.9,"LM,RM,LB",Turkey,72,72,2900000,13000
M. James,27,154.94,86.2,"CM,CDM",England,72,72,3300000,41000
Zeng Cheng,32,190.5,83,GK,China PR,72,72,1900000,10000
M. Bakakis,27,175.26,64.9,"RB,LB,CB",Greece,72,73,2900000,1000
Lee Chang Min,25,152.4,73.9,CM,Korea Republic,72,77,4100000,5000
N. Bendtner,31,193.04,83.9,ST,Denmark,72,72,3000000,7000
Pedro Nuno,24,175.26,68,CAM,Portugal,72,79,4400000,5000
M. Flekken,25,193.04,84.8,GK,Netherlands,72,75,2800000,12000
Dener,26,187.96,77.1,"CM,CAM",Brazil,72,74,3700000,8000
A. Ba,28,198.12,78.9,CB,Senegal,72,74,3000000,13000
L. JimÃ©nez,34,182.88,74.8,"CAM,CF,RW",Chile,72,72,1600000,4000
G. Castellani,31,182.88,74.8,"CM,CAM,CDM",Argentina,72,72,2900000,15000
T. Hoogland,33,182.88,79.8,"CB,CDM",Germany,72,72,1300000,13000
J. Schunke,32,193.04,86.2,CB,Argentina,72,72,2100000,11000
B. Carrasco,28,172.72,69.9,"RM,RW",Chile,72,72,3300000,7000
R. Nelson,19,175.26,71.2,RW,England,72,85,5500000,33000
Sandelas JÃºnior,27,182.88,78,CDM,Brazil,72,72,2700000,12000
P. ArÃ¡nguiz,21,172.72,64.9,"CAM,CM",Chile,72,81,4800000,5000
V. Granat,31,182.88,78.9,CB,Russia,72,72,,
D. Malen,20,152.4,78,"LW,RW,ST",Netherlands,72,83,5000000,6000
A. Mendy,24,182.88,86.2,ST,France,72,76,4100000,26000
OtÃ¡vinho Vila,35,175.26,74.8,"CDM,CM",Brazil,72,72,950000,18000
F. Ceccherini,26,187.96,74.8,CB,Italy,72,77,3400000,32000
M. VejinoviÄ‡,29,185.42,76.2,"CM,CDM",Netherlands,72,72,3100000,12000
M. Moreno,22,170.18,67.1,"LM,RM,ST",Colombia,72,81,4800000,49000
O. El Hajjam,28,154.94,73,RB,Morocco,72,72,2600000,13000
Patric,25,182.88,72.1,RB,Spain,72,75,3200000,26000
L. Landre,26,182.88,74.8,CB,France,72,75,3200000,13000
M. Murillo,23,182.88,77.1,"RB,CB",Panama,72,80,3900000,5000
T. Huddlestone,32,187.96,79.8,CDM,England,72,72,2100000,27000
A. JÃ³hannsson,28,182.88,69.9,ST,United States,72,72,3300000,21000
Luca Sangalli,24,167.64,73.9,"RM,CAM,RW",Spain,72,77,4200000,16000
J. Lucero,27,152.4,72.1,ST,Argentina,72,72,3400000,12000
C. Carbonero,28,152.4,73,"CM,RM,CAM",Colombia,72,72,3200000,3000
K. Karaman,25,187.96,83,"LM,RM,ST,CAM",Turkey,72,76,4100000,18000
IsaÃ­as,32,172.72,71.2,"CDM,CM",Spain,72,72,2100000,4000
E. Mulder,30,193.04,88,GK,Netherlands,72,73,2400000,16000
N. MilenkoviÄ‡,21,195.58,89.8,"RB,CB",Serbia,72,81,4100000,23000
Jon Bautista,23,154.94,72.1,ST,Spain,72,78,4300000,18000
T. Goiginger,25,154.94,68.9,"RW,RM",Austria,72,74,3800000,10000
B. Kayal,30,152.4,73.9,CM,Israel,72,72,2900000,31000
P. Gerkens,24,152.4,67.1,"CAM,CM,CF,RM",Belgium,72,76,4100000,13000
Molinero,33,175.26,64,"RB,LB",Spain,72,72,1700000,7000
G. Letizia,28,172.72,63,"LB,RM",Italy,72,72,2500000,4000
K. Omeruo,25,185.42,81.2,CB,Nigeria,72,79,3700000,16000
R. Koolwijk,33,193.04,76.2,CDM,Netherlands,72,72,1800000,6000
I. Rossi,25,182.88,76.2,"CDM,CM",Argentina,72,78,3600000,13000
H. Aleesami,27,182.88,81.2,"LB,LM",Norway,72,72,2600000,3000
A. Blin,22,182.88,78,"CDM,CM",France,72,78,3700000,13000
J. DrobnÃ½,39,193.04,89.8,GK,Czech Republic,72,72,210000,10000
F. Boulaya,26,152.4,69.9,"RW,CAM",Algeria,72,73,3700000,7000
A. Benali,27,172.72,66.2,"CM,CF",Libya,72,73,3600000,4000
H. Droguett,36,172.72,69.9,"CAM,LM",Chile,72,72,1400000,3000
Santi ComesaÃ±a,22,182.88,73,"CM,CDM",Spain,72,78,4200000,11000
R. Pierre-Gabriel,20,152.4,76.2,"RB,LB",France,72,82,4300000,26000
J. Pohjanpalo,24,182.88,87.1,ST,Finland,72,77,4200000,35000
A. Gunn,23,195.58,77.1,GK,England,72,82,3800000,19000
D. Siovas,30,193.04,83,CB,Greece,72,72,2400000,19000
J. Murphy,24,152.4,73.9,"RM,LM",England,72,77,4200000,27000
J. Zmrhal,25,187.96,78.9,"LM,RM",Czech Republic,72,75,3900000,1000
Rober IbÃ¡Ã±ez,25,152.4,71.2,"RM,LM",Spain,72,75,3900000,15000
V. JovanoviÄ‡,22,187.96,79.8,CB,Serbia,72,76,3400000,21000
F. Sacko,23,152.4,64,"RB,LB",Mali,72,78,3600000,6000
N. Karelis,27,172.72,69.9,ST,Greece,72,73,3700000,1000
Laure,33,170.18,68,RB,Spain,72,72,1200000,7000
L. Koutris,23,170.18,72.1,"LB,LM",Greece,72,78,3600000,1000
F. Chafik,32,182.88,72.1,"RB,RWB",Morocco,72,72,2000000,10000
S. Wuytens,29,182.88,73.9,CB,Belgium,72,72,2500000,11000
L. Robertone,21,172.72,69.9,"CAM,CM",Argentina,72,82,5000000,8000
A. DioussÃ©,21,175.26,68,"CDM,CM",Senegal,72,80,4000000,14000
I. Damonte,37,175.26,72.1,"CM,CDM",Argentina,72,72,975000,9000
S. Prediger,32,182.88,84.8,CDM,Argentina,73,73,2700000,12000
G. Guruceaga,23,187.96,86.2,GK,Uruguay,73,81,4400000,8000
F. Melchiorri,32,182.88,76.2,ST,Italy,73,73,3600000,5000
J. MÃ©nez,31,182.88,77.1,"ST,LW,CAM",France,73,73,3600000,48000
G. Zardes,27,185.42,83.9,ST,United States,73,74,4800000,8000
Y. YotÃºn,28,172.72,68,"CM,LM,LB",Peru,73,73,4000000,21000
J. Schmid,28,152.4,78.9,"RB,RM,RWB",France,73,73,3200000,19000
B. SigurÃ°arson,28,185.42,86.2,"ST,RM",Iceland,73,73,,
C. Carmona,32,172.72,68,"CDM,CM",Chile,73,73,2700000,7000
F. SÃ¡nchez,29,175.26,77.1,"RB,RM",Argentina,73,73,3200000,14000
P. Nakoulma,31,152.4,76.2,"ST,LM",Burkina Faso,73,73,3600000,14000
F. Bardi,27,187.96,79.8,GK,Italy,73,74,3200000,10000
V. Manceau,29,175.26,69.9,RB,France,73,73,3200000,18000
J. Fleck,27,170.18,72.1,CM,Scotland,73,74,4600000,12000
Paolito Serra,27,190.5,88,CB,Brazil,73,73,3500000,17000
Ailton,23,154.94,69.9,LB,Brazil,73,78,4500000,20000
U. Agbo,23,185.42,76.2,"CDM,CM",Nigeria,73,80,4800000,11000
S. Peeters,27,187.96,73.9,"CM,CAM,CDM",Belgium,73,74,4600000,19000
T. Kaminski,26,190.5,79.8,GK,Belgium,73,76,3500000,12000
A. Gunnarsson,29,152.4,86.2,"CDM,CM",Iceland,73,73,3100000,34000
L. Fer,29,187.96,89.8,"CM,CDM",Netherlands,73,73,4000000,24000
S. CÃ¡seres,22,152.4,74.8,"CDM,CM",Argentina,73,83,5500000,15000
D. Ä†aleta-Car,22,193.04,88.9,CB,Croatia,73,80,4900000,21000
G. Wikheim,25,182.88,69.9,"LW,RW",Norway,73,76,5000000,20000
T. Heurtaux,30,182.88,78,CB,France,73,73,3100000,17000
D. Ba,33,187.96,82.1,ST,Senegal,73,73,2500000,22000
S. Ingason,25,187.96,83,"CB,RB",Iceland,73,78,4500000,1000
BobÃ´,34,185.42,84.8,ST,Brazil,73,73,2500000,14000
L. Pocrnjic,37,190.5,86.2,GK,Argentina,73,73,550000,5000
HervÃ­as,26,175.26,68,"RM,LM",Spain,73,76,5000000,17000
B. Reid,26,170.18,68,"ST,CF",England,73,76,5000000,37000
A. McGeady,32,152.4,71.2,"LM,RM",Republic of Ireland,73,73,3100000,13000
B. Raman,24,172.72,67.1,"LM,RM,ST",Belgium,73,78,5500000,20000
A. Cohen,30,170.18,71.2,"CDM,CM",Israel,73,73,3100000,20000
J. Barroso,34,175.26,71.2,CB,Argentina,73,73,1600000,7000
Clinton Mata,26,154.94,72.1,"RM,RB",Angola,73,74,4800000,17000
G. Jara,33,152.4,77.1,CB,Chile,73,73,2300000,13000
Juan Villar,30,182.88,72.1,"RM,ST",Spain,73,73,3800000,9000
I. KÃ¶ybaÅŸÄ±,29,152.4,69.9,LB,Turkey,73,73,3200000,43000
T. Tomiyasu,20,187.96,83.9,"CB,CDM",Japan,73,84,6000000,4000
B. Sharp,33,175.26,69.9,ST,England,73,73,3200000,13000
Manu GarcÃ­a,21,170.18,64.9,"CAM,CM",Spain,73,84,7000000,55000
K. Rezaei,26,182.88,77.1,ST,Iran,73,75,4900000,20000
K. Schindler,25,154.94,77.1,"RM,ST",Ghana,73,75,4900000,10000
J. Uronen,24,152.4,73.9,LB,Finland,73,78,4500000,11000
M. VranÄiÄ‡,29,187.96,78,"CM,CDM,CAM",Bosnia Herzegovina,73,73,3800000,24000
P. Aquino,23,175.26,69.9,"CDM,CM",Peru,73,78,4500000,18000
T. Leistner,28,190.5,89.8,CB,Germany,73,73,3400000,9000
Juanfran,30,154.94,68.9,RB,Spain,73,73,3000000,9000
E. Barco,19,165.1,64.9,"LM,CAM,ST",Argentina,73,88,8500000,4000
B. Bianchi,30,182.88,76.2,CB,Argentina,73,73,3100000,10000
Caio Secco,28,193.04,88,GK,Brazil,73,75,3200000,8000
K. Naughton,30,154.94,73,"RB,RWB",England,73,73,3000000,22000
Chiquinho,23,175.26,66.2,"CAM,CM",Portugal,73,78,5500000,5000
J. Elez,24,187.96,87.1,CB,Croatia,73,77,4400000,20000
D. Heuer Fernandes,26,187.96,81.2,GK,Portugal,73,77,3700000,12000
PelÃ©,27,182.88,77.1,"CM,CDM",Guinea Bissau,73,74,4600000,45000
E. Reynoso,23,175.26,67.1,"CM,CAM,CDM",Argentina,73,82,6000000,16000
A. Regattin,27,165.1,66.2,"LM,RM",Morocco,73,73,4300000,15000
H. Saivet,28,175.26,76.2,"CM,CAM,CDM",Senegal,73,73,4100000,36000
Sergi Samper,24,182.88,73,"CDM,CM",Spain,73,80,4800000,69000
A. PeÃ±aranda,21,185.42,83,"ST,CF",Venezuela,73,81,6000000,32000
M. Bettinelli,26,193.04,82.1,GK,England,73,77,3600000,30000
Unai SimÃ³n,21,190.5,88.9,GK,Spain,73,84,5500000,9000
Mattheus Oliveira,24,182.88,76.2,"CAM,CM",Brazil,73,78,5500000,9000
L. Gil,27,170.18,68.9,"CDM,CM",Argentina,73,74,3800000,13000
N. Isimat-Mirin,27,187.96,79.8,CB,France,73,74,3900000,32000
V. Torosidis,33,182.88,82.1,"RB,LB,CDM",Greece,73,73,1500000,1000
Douglas Luiz,20,152.4,69.9,"CM,CDM",Brazil,73,83,6500000,55000
D. Musto,31,182.88,79.8,"CDM,CM",Argentina,73,73,2700000,16000
GonÃ§alo Silva,27,185.42,78.9,CB,Portugal,73,75,3900000,6000
J. KovaÅ™Ã­k,30,182.88,79.8,"LM,LW",Czech Republic,73,73,3800000,1000
Wallace,31,182.88,76.2,CB,Brazil,73,73,3000000,18000
C. Rigamonti,31,187.96,87.1,GK,Argentina,73,73,2400000,10000
A. Limbombe,24,175.26,77.1,"LM,LW",Belgium,73,77,5000000,18000
Oswaldito Cuba,35,170.18,68,"LB,CAM,LM",Brazil,73,73,1100000,13000
R. Gosens,24,182.88,76.2,"LM,LB",Germany,73,78,5500000,18000
R. Genevois,31,182.88,78.9,CB,Haiti,73,73,3000000,17000
Douglas,31,182.88,73.9,ST,Brazil,73,73,3900000,5000
R. Bezus,28,185.42,82.1,"CAM,CM",Ukraine,73,73,4200000,17000
M. Frantz,32,182.88,81.2,"CM,RM,CDM,LM",Germany,73,73,3400000,20000
A. Tashaev,24,152.4,74.8,"LM,LW,RM",Russia,73,77,5000000,1000
J. Herrera,37,182.88,87.1,GK,Chile,73,73,270000,5000
R. Krhin,28,187.96,81.2,"CDM,CM",Slovenia,73,73,3200000,19000
Aleix GarcÃ­a,21,172.72,68,CM,Spain,73,85,7000000,55000
A. Hunou,25,175.26,66.2,"RM,ST",France,73,76,5000000,21000
Dani GimÃ©nez,35,182.88,77.1,GK,Spain,73,73,1600000,7000
D. Diekmeier,29,187.96,78.9,"RB,RWB",Germany,73,73,3200000,6000
M. Diouf,31,185.42,78.9,"ST,RWB,RM",Senegal,73,73,3900000,37000
Stephen EustÃ¡quio,22,152.4,68,"CDM,CM",Portugal,73,84,6000000,13000
O. Kucher,36,182.88,77.1,CB,Ukraine,73,73,950000,8000
L. Miranda,25,172.72,69.9,"CDM,CM",Argentina,73,77,4400000,9000
RÃºben Semedo,24,187.96,83.9,"CB,CDM",Portugal,73,79,4700000,18000
V. Wormgoor,30,187.96,81.2,CB,Netherlands,73,73,3100000,5000
N. Penneteau,38,185.42,86.2,GK,France,73,73,270000,6000
Edgar BadÃ­a,27,154.94,78.9,GK,Spain,73,76,3500000,5000
J. Ito,25,175.26,68,"RM,RW",Japan,73,75,4900000,9000
Amilton,29,172.72,66.2,"RW,LW",Brazil,73,73,4000000,12000
W. Trapp,26,172.72,68,CDM,United States,73,77,4300000,6000
K. AdÃ©non,33,154.94,72.1,CB,Benin,73,73,2300000,14000
D. McCarty,31,175.26,68,"CDM,CM",United States,73,73,2700000,7000
S. SimiÄ,24,187.96,78.9,CB,Czech Republic,73,81,5000000,44000
JosÃ© RodrÃ­guez,24,154.94,74.8,"CDM,CM",Spain,73,78,4500000,17000
O. Kragl,28,154.94,77.1,"LM,CM,LWB",Germany,73,73,4000000,4000
S. Kljestan,33,185.42,77.1,"CAM,CM",United States,73,73,3100000,7000
I. Arboleda,22,185.42,76.2,GK,Colombia,73,80,4100000,8000
L. DÃ­az,22,154.94,73,LM,Colombia,73,84,7000000,3000
B. Wood,26,154.94,78.9,ST,United States,73,76,5000000,13000
M. Klich,28,182.88,82.1,CM,Poland,73,73,4000000,35000
J. Leca,33,154.94,74.8,GK,France,73,73,2300000,7000
M. WaguÃ©,28,190.5,87.1,CB,Mali,73,75,3900000,19000
Nivo Serpinho,35,185.42,78,GK,Brazil,73,73,1600000,10000
K. Reichel,32,185.42,83,"LB,LM",Germany,73,73,2600000,23000
R. SigurÃ°sson,32,187.96,77.1,CB,Iceland,73,73,,
F. Tobio,29,185.42,79.8,CB,Argentina,73,74,3600000,19000
M. Rzatkowski,29,172.72,66.2,"CM,RM",Germany,73,73,4000000,8000
M. Abeid,26,152.4,84.8,"CDM,CM",Algeria,73,75,4100000,11000
R. NeustÃ¤dter,31,187.96,81.2,"CB,CDM",Russia,73,73,3000000,41000
Pierrino Faria,31,190.5,82.1,GK,Brazil,73,73,2600000,11000
FrÃ©dÃ©ric Mendy,30,193.04,82.1,"ST,LW,RW",Guinea Bissau,73,73,4000000,7000
JoÃ£o Talocha,29,154.94,76.2,LB,Portugal,73,73,3200000,7000
N. Skubic,29,152.4,74.8,RB,Slovenia,73,73,3000000,14000
A. Reach,26,185.42,73,"CAM,LM,RM",England,73,76,5000000,22000
L. FernÃ¡ndez,27,175.26,72.1,"ST,RM,LM",Argentina,73,74,4700000,18000
W. Montillo,34,172.72,71.2,CAM,Argentina,73,73,2000000,13000
Y. Banana,27,193.04,88,"CB,CDM,RB",Cameroon,73,75,,
W. Hahn,26,190.5,88,GK,Netherlands,73,77,3600000,6000
Y. Asad,24,152.4,78,LM,Argentina,73,79,5500000,11000
P. Ankersen,28,152.4,74.8,RB,Denmark,73,73,3300000,16000
V. Pajot,28,154.94,68,"CM,CDM",France,73,73,4100000,19000
M. Heller,33,175.26,69.9,"RM,LM",Germany,73,73,3100000,17000
O. Tufan,23,152.4,78.9,"CDM,CM",Turkey,73,78,4500000,35000
D. Biraschi,24,182.88,72.1,CB,Italy,73,80,4800000,11000
M. StÄ™piÅ„ski,23,182.88,78,"ST,CF",Poland,73,80,5500000,14000
S. Williams,32,185.42,79.8,"CDM,CM",Republic of Ireland,73,73,2700000,12000
K. Nababkin,32,182.88,77.1,"LB,LM,RB",Russia,73,73,2600000,1000
F. Monetti,30,154.94,76.2,GK,Argentina,73,74,3100000,4000
H. KaldÄ±rÄ±m,29,182.88,74.8,LB,Turkey,73,73,3200000,43000
A. HruÅ¡ka,33,193.04,88,GK,Czech Republic,73,73,2300000,1000
R. Elm,30,182.88,74.8,CM,Sweden,73,73,3700000,4000
A. Baumjohann,32,152.4,74.8,CAM,Germany,73,73,3500000,9000
Pedro Santos,30,172.72,63,"RM,LM",Portugal,73,73,3800000,7000
T. Letschert,25,187.96,83.9,CB,Netherlands,73,75,4100000,32000
F. Cacciatore,32,182.88,84.8,"RB,LB",Italy,73,73,2600000,13000
O. Tannane,24,152.4,79.8,"ST,RW",Morocco,73,77,5500000,23000
A. Behich,28,170.18,63,LB,Australia,73,73,3300000,12000
N. Lombaerts,33,187.96,78.9,CB,Belgium,73,73,1600000,12000
A. Zambo Anguissa,23,182.88,78,"CDM,CM",Cameroon,73,81,5000000,32000
Frederico VenÃ¢ncio,26,185.42,81.2,CB,Portugal,73,77,4300000,8000
K. Rausch,28,182.88,79.8,"LB,LM",Russia,73,73,,
L. Janson,24,170.18,67.1,"CF,ST,LM",Argentina,73,79,5500000,12000
C. Marrugo,33,152.4,74.8,"CAM,CM,LM",Colombia,73,73,3100000,8000
Calero,23,182.88,74.8,CB,Spain,73,82,5500000,13000
J. HuÅ¡bauer,28,182.88,76.2,"CM,CDM,CAM",Czech Republic,73,73,4000000,1000
A. Miranchuk,23,182.88,72.1,"CAM,RM",Russia,73,81,6000000,1000
F. Lucioni,31,185.42,79.8,CB,Italy,73,73,3000000,4000
M. WÃ¶ber,21,187.96,82.1,"CB,LB",Austria,73,81,5000000,9000
S. Amrabat,22,182.88,77.1,"CM,RB,CB",Morocco,73,79,5500000,13000
F. ÄorÄ‘eviÄ‡,31,185.42,79.8,ST,Serbia,73,73,3900000,15000
L. Ulloa,32,187.96,88.9,ST,Argentina,73,73,3600000,26000
C. Goldson,26,190.5,84.8,CB,England,73,78,4500000,34000
N. TomoviÄ‡,31,182.88,78.9,"CB,RB",Serbia,73,73,3000000,13000
S. LukiÄ‡,22,182.88,77.1,"CDM,CM",Serbia,73,80,4900000,21000
J. Jones,27,154.94,73,"LM,LB",Trinidad & Tobago,73,73,4300000,17000
M. Borjan,31,195.58,83.9,GK,Canada,73,73,,
Z. TomaÅ¡eviÄ‡,29,190.5,83.9,"CB,LB",Montenegro,73,74,3600000,13000
Y. Kubo,25,152.4,73,"CAM,ST",Japan,73,76,5000000,15000
A. Ujah,28,182.88,81.2,ST,Nigeria,73,73,4300000,23000
G. Donati,29,152.4,76.2,"RB,RWB",Italy,73,73,3200000,21000
N. Uysal,28,154.94,72.1,"CDM,CB,RB",Turkey,73,74,3800000,32000
A. TraorÃ©,29,170.18,73,LB,Ivory Coast,73,73,3200000,19000
A. Luthe,31,195.58,84.8,GK,Germany,73,73,2400000,15000
M. MitroviÄ‡,25,187.96,84.8,CB,Croatia,73,78,4500000,14000
B. Guzan,34,193.04,94.8,GK,United States,73,73,2000000,5000
M. Leitner,26,175.26,68,"CM,CDM",Germany,73,75,4800000,22000
V. Shepelev,21,182.88,73,"CDM,CM,CAM",Ukraine,73,82,5500000,1000
H. MartÃ­n,26,152.4,73,"ST,RW",Mexico,73,74,4800000,46000
M. Shaparenko,20,152.4,72.1,"CM,CDM,CAM",Ukraine,73,85,7000000,1000
A. Hahn,28,185.42,78.9,"RM,ST",Germany,73,73,4200000,20000
F. Hinestroza,28,152.4,69.9,LM,Colombia,73,73,4000000,4000
M. PoundjÃ©,26,154.94,73.9,LB,France,73,74,3900000,27000
S. Schaars,35,152.4,74.8,"CDM,CM",Netherlands,73,73,1200000,8000
F. Diagne,29,185.42,78,"CB,CDM",Senegal,73,73,3200000,14000
A. Donis,22,152.4,76.2,"ST,RM,LW",Greece,73,83,6500000,21000
J. AÃ±or,25,175.26,67.1,"RM,CAM",Venezuela,73,76,5000000,8000
S. Dimitrievski,25,187.96,81.2,GK,FYR Macedonia,73,77,3700000,10000
X. Chavalerin,28,152.4,68.9,"CDM,CM",France,73,73,3400000,14000
V. Stocker,29,152.4,73,"CAM,LM,RM,RW",Switzerland,73,73,3900000,22000
A. TraorÃ©,30,175.26,71.2,"CAM,RM,LM",Burkina Faso,73,73,3900000,16000
J. Lolley,26,152.4,72.1,"RM,LM",England,73,74,4800000,36000
O. Edouard,21,187.96,83,ST,France,73,84,7000000,32000
H. MagnÃºsson,26,190.5,81.2,"CB,LB",Iceland,73,78,4500000,1000
P. Nardi,24,187.96,82.1,GK,France,73,79,4000000,27000
L. Barrios,34,187.96,83.9,ST,Paraguay,73,73,2500000,15000
R. Vlaar,34,187.96,79.8,CB,Netherlands,73,73,1600000,12000
S. Naismith,32,152.4,72.1,"CAM,LM,ST,RM",Scotland,73,73,3500000,23000
F. Vicari,24,190.5,79.8,CB,Italy,73,81,5000000,10000
J. RamÃ­rez,25,175.26,68,"LW,CM,CAM",Argentina,73,75,4900000,15000
Kuca,29,154.94,63,"LM,LW",Cape Verde,73,73,4000000,11000
J. Egan,26,187.96,74.8,CB,Republic of Ireland,73,77,4300000,11000
J. Johansson,28,187.96,86.2,"CM,CDM",Sweden,73,73,4000000,26000
Pere Milla,26,152.4,69.9,"CAM,RM,LM",Spain,73,76,5000000,17000
Gustavo Lobateiro,31,154.94,76.2,"CAM,ST,CF",Brazil,73,73,3800000,21000
E. Cerutti,27,152.4,74.8,"RM,ST",Argentina,73,73,4300000,29000
W. SaÃ¯d,23,170.18,74.8,"ST,RW,LM,LW",France,73,79,5500000,12000
P. Tachtsidis,28,190.5,86.2,"CDM,CM",Greece,73,73,3400000,35000
J. Livermore,29,154.94,73.9,"CM,CDM",England,73,73,4000000,29000
T. HoÅ™ava,30,182.88,69.9,"CM,CDM,CAM",Czech Republic,73,73,3700000,1000
G. van der Wiel,31,182.88,78,"CB,RB,RWB",Netherlands,73,73,3000000,7000
C. Ninga,25,185.42,81.2,"LM,LW,ST",Chad,73,75,4900000,18000
Benjamin Meseira,35,154.94,74.8,RB,Brazil,73,73,1100000,13000
W. FarÃ­Ã±ez,21,154.94,81.2,GK,Venezuela,73,83,5000000,2000
M. Martins,31,187.96,82.1,ST,Bolivia,73,73,,
Cucurella,20,172.72,68.9,"LB,LM",Spain,73,84,6000000,35000
S. Viera,36,182.88,86.2,GK,Uruguay,73,73,950000,2000
C. Chimino,31,152.4,72.1,RB,Argentina,73,73,2900000,13000
J. Van Damme,35,190.5,88.9,"CB,LB,LWB",Belgium,73,73,1200000,10000
J. Howson,30,154.94,77.1,"CM,CDM",England,73,73,3700000,41000
D. Ward,25,190.5,88,GK,Wales,73,76,3500000,32000
Bruno Alves,37,187.96,81.2,CB,Portugal,73,73,550000,21000
F. SÃ¸rensen,26,193.04,88,"CB,RB",Denmark,73,76,4200000,16000
B. Martins Indi,27,185.42,76.2,CB,Netherlands,73,76,4200000,31000
P. Schiattarella,31,152.4,73,"CM,RM",Italy,73,73,3400000,12000
V. Le Goff,29,152.4,68,LB,France,73,73,3200000,8000
G. Saville,25,175.26,73,"CM,LM",Northern Ireland,73,76,4900000,40000
Galeno,21,182.88,72.1,"LW,RW",Brazil,73,84,7000000,9000
PerdigÃ£o,27,185.42,77.1,"RW,RM",Brazil,73,73,4300000,8000
S. Salcedo,21,182.88,74.8,CB,Paraguay,73,82,5500000,9000
Bruno Gaspar,25,175.26,68,RB,Portugal,73,75,4000000,9000
M. Barrios,27,162.56,64.9,"RM,LM",Colombia,73,73,4200000,7000
A. Bakasetas,25,154.94,78,"CAM,RM,ST",Greece,73,77,5000000,1000
M. Knoll,28,182.88,81.2,"CDM,CB",Germany,73,73,3400000,14000
O. Ntcham,23,154.94,81.2,"CM,CDM",France,73,82,6000000,34000
C. Mathenia,26,187.96,89.8,GK,Germany,73,75,3300000,15000
Juliano Mascarinhas,35,182.88,79.8,"CDM,CM",Brazil,73,73,1200000,21000
C. DoukourÃ©,26,154.94,82.1,"CDM,CM",Ivory Coast,73,78,4500000,16000
E. BuendÃ­a,22,170.18,64.9,"RM,LM",Argentina,73,80,5500000,17000
Gus Outomouro,35,175.26,73,"ST,LM",Brazil,73,73,2100000,23000
Diogo Figueiras,27,170.18,58.1,"RB,RM",Portugal,73,74,3700000,11000
Vasco Fernandes,32,182.88,76.2,"CB,LB",Portugal,73,73,2700000,6000
O. Veigneau,33,175.26,69.9,LB,France,73,73,2200000,11000
A. Christiansen,28,175.26,74.8,CM,Denmark,73,73,4000000,7000
C. Mayada,28,175.26,74.8,"RB,LB,LM",Uruguay,73,73,3300000,17000
G. Torje,29,167.64,71.2,"RM,LM,CAM",Romania,73,73,4000000,13000
M. van der Hoorn,26,190.5,83,CB,Netherlands,73,76,4200000,20000
J. Pied,30,172.72,73,"RB,RM,LB",France,73,73,3000000,23000
